name,category,area,indoor,outdoor,rain_good,cold_good,hot_good,dry_good,wind_good,max_commute_mins,description
Foyles Charing Cross Road,bookshop,Soho,yes,no,yes,yes,yes,yes,yes,40,Large central bookshop and cafe
Waterstones Piccadilly,bookshop,Piccadilly,yes,no,yes,yes,yes,yes,yes,40,Large bookshop with cafe and central location
Southbank Book Market,book market,South Bank,partial,yes,yes,yes,yes,yes,yes,35,Outdoor book market under Waterloo Bridge
Libreria Bookshop,bookshop,Spitalfields,yes,no,yes,yes,yes,yes,yes,55,Stylish small bookshop near markets
Hatchards Piccadilly,bookshop,Piccadilly,yes,no,yes,yes,yes,yes,yes,40,Historic bookshop by Piccadilly
Daunt Books Holland Park,bookshop,Holland Park,yes,no,yes,yes,yes,yes,yes,55,Neighbourhood bookshop near park walks
The Churchill Arms,pub,Kensington,yes,no,yes,yes,yes,yes,yes,50,"Flower-covered pub, good for mild days"
The Spaniards Inn,pub,Hampstead,no,no,no,yes,no,yes,no,70,Historic pub near Hampstead Heath
The Mayflower Pub,pub,Rotherhithe,no,no,no,yes,no,yes,no,55,Historic riverside pub
The Prospect of Whitby,pub,Wapping,no,no,no,yes,no,yes,no,55,Historic riverside pub
The Grapes Limehouse,pub,Limehouse,no,no,no,yes,no,yes,no,60,Historic riverside pub
The Trafalgar Tavern,pub,Greenwich,no,no,no,yes,no,yes,no,60,Riverside pub in Greenwich
The Holly Bush Hampstead,pub,Hampstead,no,no,no,yes,no,yes,no,65,Cosy historic pub for cooler days
The Dove Hammersmith,pub,Hammersmith,no,no,no,yes,no,yes,no,55,Riverside pub for dry mild weather
The Ship Wandsworth,pub,Wandsworth,no,no,no,yes,no,yes,no,35,Riverside pub closer to south-west London
The Leather Bottle Earlsfield,pub,Earlsfield,no,no,no,yes,no,yes,no,30,Large pub garden near Morden route
The Antelope Tooting,pub,Tooting,no,no,no,yes,no,yes,no,20,Neighbourhood pub close to Morden
Dog & Fox Wimbledon Village,pub,Wimbledon,no,no,no,yes,no,yes,no,30,Village pub near Wimbledon Common
The Alexandra Wimbledon,pub,Wimbledon,no,no,no,yes,no,yes,no,30,Pub with rooftop terrace in Wimbledon
The Windmill Clapham Common,pub,Clapham,no,no,no,yes,no,yes,no,35,Pub by Clapham Common
The Bedford Balham,pub,Balham,no,no,no,yes,no,yes,no,25,Historic pub and live entertainment venue
Ritzy Cinema Brixton,cinema,Brixton,yes,no,yes,yes,yes,yes,yes,30,Cinema and cafe for rainy days
Curzon Wimbledon,cinema,Wimbledon,yes,no,yes,yes,yes,yes,yes,25,Local cinema option near Morden
Everyman Chelsea,cinema,Chelsea,yes,no,yes,yes,yes,yes,yes,45,Comfortable cinema for wet evenings
Picturehouse Central,cinema,Piccadilly,yes,no,yes,yes,yes,yes,yes,40,Central cinema with cafe
Tara Theatre,theatre,Earlsfield,yes,no,yes,yes,yes,yes,yes,30,Local theatre close to Morden
New Wimbledon Theatre,theatre,Wimbledon,yes,no,yes,yes,yes,yes,yes,25,Large theatre near Morden
Polka Theatre,theatre,Wimbledon,yes,no,yes,yes,yes,yes,yes,25,Family-friendly theatre near Morden
Battersea Arts Centre,theatre,Battersea,yes,no,yes,yes,yes,yes,yes,35,Arts venue in historic town hall
Omnibus Theatre,theatre,Clapham,yes,no,yes,yes,yes,yes,yes,35,Small theatre near Clapham Common
Clapham Picturehouse,cinema,Clapham,yes,no,yes,yes,yes,yes,yes,35,Local cinema near the Northern line
Wimbledon Lawn Tennis Museum,museum,Wimbledon,yes,no,yes,yes,yes,yes,yes,35,Tennis museum and tour option
All England Lawn Tennis Club grounds,sports venue,Wimbledon,no,no,no,no,no,yes,no,35,"Famous tennis grounds, best for dry days"
Chelsea Harbour Design Centre,design centre,Chelsea Harbour,yes,no,yes,yes,yes,yes,yes,45,"Interior design showrooms, indoor browsing"
Battersea Park Children's Zoo,zoo,Battersea,no,yes,no,no,no,yes,no,35,"Small outdoor zoo, best in mild dry weather"
London Zoo,zoo,Regent's Park,yes,yes,yes,yes,yes,yes,yes,60,Major zoo with indoor and outdoor habitats
Sea Life London Aquarium,aquarium,South Bank,yes,no,yes,yes,yes,yes,yes,35,Indoor aquarium near Westminster
Madame Tussauds London,attraction,Baker Street,yes,no,yes,yes,yes,yes,yes,50,Indoor wax museum attraction
London Dungeon,attraction,South Bank,yes,no,yes,yes,yes,yes,yes,35,Indoor theatrical attraction
Frameless London,immersive art,Marble Arch,yes,no,yes,yes,yes,yes,yes,45,Indoor immersive art venue
Outernet London,immersive screens,Tottenham Court Road,yes,no,yes,yes,yes,yes,yes,45,Indoor digital screens and music spaces
The Lightroom,immersive art,King's Cross,no,no,no,no,no,yes,no,55,Large immersive exhibition venue
Dopamine Land,immersive attraction,South Kensington,yes,no,yes,yes,yes,yes,yes,45,Colourful indoor immersive attraction
Monopoly Lifesized,immersive game,Tottenham Court Road,yes,no,yes,yes,yes,yes,yes,45,Indoor game attraction
DNA VR Battersea,indoor activity,Battersea,yes,no,yes,yes,yes,yes,yes,35,Virtual reality activity for rainy days
Gravity Wandsworth,indoor activity,Wandsworth,yes,no,yes,yes,yes,yes,yes,35,Indoor entertainment complex
Puttshack Bank,indoor activity,Bank,yes,no,yes,yes,yes,yes,yes,45,Indoor mini golf in the City
Swingers West End,indoor activity,Oxford Circus,yes,no,yes,yes,yes,yes,yes,45,Indoor crazy golf and food
Flight Club Victoria,indoor activity,Victoria,yes,no,yes,yes,yes,yes,yes,30,Indoor darts and social games
Bounce Farringdon,indoor activity,Farringdon,yes,no,yes,yes,yes,yes,yes,50,Indoor ping-pong bar
All Star Lanes Holborn,indoor activity,Holborn,yes,no,yes,yes,yes,yes,yes,45,Bowling and food indoors
Queens Skate Dine Bowl,indoor activity,Queensway,yes,no,yes,yes,yes,yes,yes,50,"Ice skating, bowling and food"
Alexandra Palace Ice Rink,indoor activity,Alexandra Palace,yes,no,yes,yes,yes,yes,yes,75,Indoor ice rink with park nearby
Lee Valley Ice Centre,indoor activity,Leyton,yes,no,yes,yes,yes,yes,yes,75,Indoor ice skating venue
Crystal Palace National Sports Centre,sports venue,Crystal Palace,yes,no,yes,yes,yes,yes,yes,60,Indoor sports and park option
Tooting Bec Lido,outdoor swimming,Tooting,no,no,no,no,no,yes,no,25,Outdoor lido for warm dry days
Brockwell Lido,outdoor swimming,Herne Hill,no,no,no,no,no,yes,no,45,Outdoor lido beside Brockwell Park
Parliament Hill Lido,outdoor swimming,Hampstead Heath,no,no,no,no,no,yes,no,65,Outdoor lido for warm days
Hampstead Heath Bathing Ponds,outdoor swimming,Hampstead Heath,no,no,no,no,no,yes,no,65,Outdoor swimming ponds for warm weather
Serpentine Lido,outdoor swimming,Hyde Park,no,no,no,no,no,yes,no,45,Outdoor swimming in Hyde Park
Sky Pool viewpoint at Embassy Gardens,viewpoint,Nine Elms,no,yes,no,no,no,yes,no,30,Modern sky pool area and riverside views
